Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity
contig00038	pol2_mouse ame: full=retrovirus-related pol polyprotein line-1 ame: full=long interspersed element-1 short=l1 includes: ame: full=reverse transcriptase includes: ame: full=endonuclease	126	2	3.58E-14	83.00%
contig00039	pol2_mouse ame: full=retrovirus-related pol polyprotein line-1 ame: full=long interspersed element-1 short=l1 includes: ame: full=reverse transcriptase includes: ame: full=endonuclease	258	1	1.88E-08	74.00%
contig00040	---NA---	1191	0		
contig00041	---NA---	384	0		
contig00043	---NA---	144	0		
contig00044	---NA---	377	0		
contig00045	---NA---	250	0		
contig00046	pol_wmsv ame: full=pol polyprotein contains: ame: full=reverse transcriptase ribonuclease h short=rt contains: ame: full=integrase short=in	190	3	6.42E-08	61.67%
contig00047	pol_mlvfp ame: full=pol polyprotein contains: ame: full=protease contains: ame: full=reverse transcriptase ribonuclease h short=rt contains: ame: full=integrase short=in	1943	5	0	68.60%
contig00048	---NA---	473	0		
contig00050	---NA---	101	0		
contig00051	---NA---	345	0		
contig00052	---NA---	331	0		
contig00053	---NA---	175	0		
contig00054	---NA---	163	0		
contig00055	---NA---	113	0		
contig00056	---NA---	608	0		
contig00057	cd48_human ame: full=cd48 antigen ame: full=b-lymphocyte activation marker blast-1 ame: full=bcm1 surface antigen ame: full=leukocyte antigen mem-102 ame: full=slam family member 2 short=slamf2 ame: full=signaling lymphocytic activation molecule 2 ame: full= ame: cd_antigen=cd48 flags: precursor	1558	5	3.32E-76	57.60%
contig00058	---NA---	219	0		
contig00059	---NA---	107	0		
contig00060	---NA---	522	0		
contig00061	---NA---	140	0		
contig00062	---NA---	187	0		
contig00063	---NA---	157	0		
contig00064	---NA---	100	0		
contig00065	---NA---	166	0		
contig00066	---NA---	108	0		
contig00067	k1731_human ame: full=centrosomal protein kiaa1731	1432	3	2.66E-142	65.67%
contig00069	---NA---	170	0		
contig00072	---NA---	159	0		
contig00073	---NA---	922	0		
contig00074	---NA---	181	0		
contig00075	---NA---	335	0		
contig00076	taf1d_rat ame: full=tata box-binding protein-associated factor rna polymerase i subunit d ame: full=tata box-binding protein-associated factor 1d short=tbp-associated factor 1d ame: full=transcription initiation factor sl1 tif-ib subunit d	777	5	1.28E-74	79.00%
contig00080	---NA---	356	0		
contig00082	---NA---	377	0		
contig00084	k1731_human ame: full=centrosomal protein kiaa1731	208	1	7.27E-10	61.00%
contig00085	---NA---	519	0		
contig00087	---NA---	238	0		
contig00088	---NA---	349	0		
contig00090	---NA---	239	0		
contig00091	---NA---	264	0		
contig00093	---NA---	103	0		
contig00094	---NA---	205	0		
contig00095	eme2_mouse ame: full=probable crossover junction endonuclease eme2	1627	5	5.77E-59	88.20%
contig00096	spsb3_human ame: full=spry domain-containing socs box protein 3 short=ssb-3	376	5	4.67E-21	88.40%
contig00097	spsb3_bovin ame: full=spry domain-containing socs box protein 3 short=ssb-3	124	5	1.45E-21	98.00%
contig00098	---NA---	100	0		
contig00099	spsb3_human ame: full=spry domain-containing socs box protein 3 short=ssb-3	187	5	1.39E-34	95.20%
contig00100	---NA---	249	0		
contig00102	spsb3_bovin ame: full=spry domain-containing socs box protein 3 short=ssb-3	253	2	1.13E-07	93.50%
contig00105	spsb3_bovin ame: full=spry domain-containing socs box protein 3 short=ssb-3	103	5	1.25E-16	97.00%
contig00106	spsb3_human ame: full=spry domain-containing socs box protein 3 short=ssb-3	261	5	5.97E-36	92.60%
contig00107	---NA---	211	0		
contig00108	eme2_mouse ame: full=probable crossover junction endonuclease eme2	117	2	1.34E-12	91.00%
contig00109	eme2_mouse ame: full=probable crossover junction endonuclease eme2	782	2	2.01E-13	86.50%
contig00110	spsb3_human ame: full=spry domain-containing socs box protein 3 short=ssb-3	112	5	8.30E-14	81.80%
contig00113	---NA---	575	0		
contig00116	---NA---	546	0		
contig00118	---NA---	283	0		
contig00119	---NA---	691	0		
contig00121	hnrh1_mouse ame: full=heterogeneous nuclear ribonucleoprotein h short=hnrnp h contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	609	5	4.94E-113	99.20%
contig00122	hnrh1_rat ame: full=heterogeneous nuclear ribonucleoprotein h short=hnrnp h ame: full=ratsg1 contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	557	5	3.60E-44	98.00%
contig00123	hnrh1_mouse ame: full=heterogeneous nuclear ribonucleoprotein h short=hnrnp h contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	118	5	4.77E-21	100.00%
contig00124	---NA---	180	0		
contig00125	hnrpf_rat ame: full=heterogeneous nuclear ribonucleoprotein f short=hnrnp f contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	341	5	6.29E-59	96.00%
contig00126	---NA---	470	0		
contig00129	hnrpf_bovin ame: full=heterogeneous nuclear ribonucleoprotein f short=hnrnp f contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	698	5	6.19E-57	96.00%
contig00130	---NA---	449	0		
contig00132	hnrpf_rat ame: full=heterogeneous nuclear ribonucleoprotein f short=hnrnp f contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	963	5	5.13E-111	91.60%
contig00133	---NA---	1133	0		
contig00134	hnrpf_rat ame: full=heterogeneous nuclear ribonucleoprotein f short=hnrnp f contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	685	5	4.23E-107	94.80%
contig00135	hnrh1_human ame: full=heterogeneous nuclear ribonucleoprotein h short=hnrnp h contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	122	5	1.03E-18	100.00%
contig00136	---NA---	946	0		
contig00137	---NA---	585	0		
contig00138	---NA---	749	0		
contig00139	hnrpf_rat ame: full=heterogeneous nuclear ribonucleoprotein f short=hnrnp f contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	955	5	8.85E-114	93.40%
contig00140	hnrh1_human ame: full=heterogeneous nuclear ribonucleoprotein h short=hnrnp h contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	231	5	2.81E-09	71.00%
contig00141	---NA---	123	0		
contig00142	hnrh2_bovin ame: full=heterogeneous nuclear ribonucleoprotein h2 short=hnrnp h2 ame: full=heterogeneous nuclear ribonucleoprotein h short=hnrnp h contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	545	5	1.66E-51	98.80%
contig00143	hnrpf_rat ame: full=heterogeneous nuclear ribonucleoprotein f short=hnrnp f contains: ame: full=heterogeneous nuclear ribonucleoprotein n-terminally processed	258	5	2.52E-53	97.00%
contig00144	hda10_human ame: full=histone deacetylase 10 short=hd10	705	3	6.61E-55	79.33%
contig00145	hda10_human ame: full=histone deacetylase 10 short=hd10	235	2	7.25E-20	72.50%
contig00146	hda10_human ame: full=histone deacetylase 10 short=hd10	746	3	1.06E-54	78.67%
contig00148	hda10_human ame: full=histone deacetylase 10 short=hd10	255	5	4.69E-44	84.20%
contig00150	hda10_human ame: full=histone deacetylase 10 short=hd10	324	5	3.17E-23	87.80%
contig00152	---NA---	178	0		
contig00153	hda10_mouse ame: full=histone deacetylase 10 short=hd10	199	5	9.69E-29	83.00%
contig00154	hda10_human ame: full=histone deacetylase 10 short=hd10	409	3	3.22E-20	84.00%
contig00155	hda10_mouse ame: full=histone deacetylase 10 short=hd10	326	1	1.84E-07	55.00%
contig00156	hda10_mouse ame: full=histone deacetylase 10 short=hd10	253	1	2.45E-08	56.00%
contig00157	hda10_human ame: full=histone deacetylase 10 short=hd10	564	5	4.11E-70	82.20%
contig00158	hda10_human ame: full=histone deacetylase 10 short=hd10	131	5	7.59E-23	89.40%
contig00161	---NA---	198	0		
contig00166	---NA---	104	0		
contig00169	---NA---	191	0		
contig00170	elmo3_rat ame: full=engulfment and cell motility protein 3	166	5	9.75E-28	94.00%
contig00171	elmo3_bovin ame: full=engulfment and cell motility protein 3	104	4	3.87E-15	89.50%
contig00172	---NA---	110	0		
contig00173	elmo3_human ame: full=engulfment and cell motility protein 3	348	5	8.02E-45	89.00%
contig00176	elmo3_human ame: full=engulfment and cell motility protein 3	482	3	2.83E-24	94.00%
contig00178	elmo3_bovin ame: full=engulfment and cell motility protein 3	138	5	5.73E-24	93.60%
contig00179	elmo3_bovin ame: full=engulfment and cell motility protein 3	194	4	2.42E-16	89.50%
contig00180	elmo3_bovin ame: full=engulfment and cell motility protein 3	183	1	4.14E-10	73.00%
contig00181	elmo3_human ame: full=engulfment and cell motility protein 3	413	5	2.46E-36	85.80%
contig00182	---NA---	108	0		
contig00183	elmo3_rat ame: full=engulfment and cell motility protein 3	112	5	4.09E-17	95.80%
contig00185	---NA---	100	0		
contig00188	---NA---	134	0		
contig00190	elmo3_rat ame: full=engulfment and cell motility protein 3	123	4	6.88E-19	97.75%
contig00192	elmo3_rat ame: full=engulfment and cell motility protein 3	274	5	6.04E-27	92.40%
contig00195	---NA---	111	0		
contig00196	tm175_mouse ame: full=transmembrane protein 175	2886	5	6.92E-94	91.20%
contig00198	tm175_mouse ame: full=transmembrane protein 175	221	5	1.58E-25	81.00%
contig00200	---NA---	225	0		
contig00201	---NA---	1062	0		
contig00204	---NA---	307	0		
contig00206	dgkq_mouse ame: full=diacylglycerol kinase theta short=dag kinase theta ame: full=diglyceride kinase theta short=dgk-theta	321	5	2.29E-50	79.20%
contig00208	---NA---	671	0		
contig00210	---NA---	112	0		
contig00211	---NA---	879	0		
contig00212	tm175_rat ame: full=transmembrane protein 175	606	5	2.76E-127	87.60%
contig00213	---NA---	180	0		
contig00218	---NA---	234	0		
contig00219	---NA---	1675	0		
contig00220	t3jam_human ame: full=traf3-interacting jnk-activating modulator ame: full=traf3-interacting protein 3	149	1	2.11E-07	75.00%
contig00221	---NA---	1050	0		
contig00224	t3jam_human ame: full=traf3-interacting jnk-activating modulator ame: full=traf3-interacting protein 3	271	2	1.08E-33	85.50%
contig00225	---NA---	207	0		
contig00226	t3jam_human ame: full=traf3-interacting jnk-activating modulator ame: full=traf3-interacting protein 3	144	2	5.68E-20	93.00%
contig00227	t3jam_human ame: full=traf3-interacting jnk-activating modulator ame: full=traf3-interacting protein 3	849	5	6.88E-98	73.60%
contig00229	---NA---	224	0		
contig00230	---NA---	316	0		
contig00232	---NA---	262	0		
contig00235	---NA---	1412	0		
contig00237	---NA---	558	0		
contig00238	---NA---	618	0		
contig00239	t3jam_human ame: full=traf3-interacting jnk-activating modulator ame: full=traf3-interacting protein 3	130	2	7.07E-17	92.50%
contig00241	xpo5_human ame: full=exportin-5 short=exp5 ame: full=ran-binding protein 21	3010	5	0	63.60%
contig00243	---NA---	509	0		
contig00245	xpo5_human ame: full=exportin-5 short=exp5 ame: full=ran-binding protein 21	495	2	2.32E-104	96.00%
contig00246	xpo5_human ame: full=exportin-5 short=exp5 ame: full=ran-binding protein 21	2184	5	1.79E-15	93.60%
contig00247	rpac1_human ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpa39 ame: full=rpc40	118	3	3.67E-18	98.00%
contig00248	---NA---	109	0		
contig00249	rpac1_human ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpa39 ame: full=rpc40	152	5	1.97E-26	91.60%
contig00250	rpac1_mouse ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpc40	152	5	1.02E-30	86.00%
contig00252	rpac1_human ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpa39 ame: full=rpc40	120	3	4.57E-20	96.00%
contig00253	---NA---	109	0		
contig00254	rpac1_human ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpa39 ame: full=rpc40	425	5	3.60E-82	87.80%
contig00255	rpac1_human ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpa39 ame: full=rpc40	190	3	5.71E-17	90.33%
contig00256	---NA---	141	0		
contig00257	rpac1_human ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpa39 ame: full=rpc40	148	5	9.57E-26	91.40%
contig00258	rpac1_mouse ame: full=dna-directed rna polymerases i and iii subunit rpac1 short=dna-directed rna polymerase i subunit c short=rna polymerases i and iii subunit ac1 ame: full=ac40 ame: full=dna-directed rna polymerases i and iii 40 kda polypeptide short=rpa40 ame: full=rpc40	157	5	3.78E-30	85.20%
contig00259	---NA---	141	0		
contig00260	---NA---	742	0		
contig00261	---NA---	166	0		
contig00262	---NA---	393	0		
contig00264	fanca_human ame: full=fanconi anemia group a protein short=protein faca	1529	5	5.28E-93	82.00%
contig00266	zn276_human ame: full=zinc finger protein 276 short=zfp-276 ame: full=zinc finger protein 477	105	2	7.37E-17	100.00%
contig00267	---NA---	238	0		
contig00268	---NA---	101	0		
contig00270	---NA---	127	0		
contig00271	fanca_mouse ame: full=fanconi anemia group a protein homolog short=protein faca	1470	2	2.07E-175	78.00%
contig00273	zn276_mouse ame: full=zinc finger protein 276 short=zfp-276	494	4	1.99E-65	64.25%
contig00274	---NA---	196	0		
contig00276	zn276_mouse ame: full=zinc finger protein 276 short=zfp-276	191	5	2.43E-38	74.60%
contig00278	zn276_mouse ame: full=zinc finger protein 276 short=zfp-276	274	5	3.93E-40	75.00%
contig00280	zn276_mouse ame: full=zinc finger protein 276 short=zfp-276	354	2	4.21E-59	85.00%
contig00281	zn276_mouse ame: full=zinc finger protein 276 short=zfp-276	173	2	3.62E-16	97.00%
contig00282	---NA---	100	0		
contig00283	fanca_human ame: full=fanconi anemia group a protein short=protein faca	1850	2	0	83.00%
contig00285	---NA---	952	0		
contig00286	---NA---	574	0		
contig00287	---NA---	435	0		
contig00288	ankz1_human ame: full=ankyrin repeat and zinc finger domain-containing protein 1 ame: full=zinc finger protein 744	413	4	2.20E-53	84.50%
contig00289	---NA---	238	0		
contig00290	ankz1_human ame: full=ankyrin repeat and zinc finger domain-containing protein 1 ame: full=zinc finger protein 744	112	4	2.49E-13	96.25%
contig00291	---NA---	346	0		
contig00292	ankz1_human ame: full=ankyrin repeat and zinc finger domain-containing protein 1 ame: full=zinc finger protein 744	378	5	1.22E-57	83.20%
contig00294	---NA---	168	0		
contig00295	ankz1_rat ame: full=ankyrin repeat and zinc finger domain-containing protein 1	573	4	1.42E-59	72.00%
contig00296	glb1l_human ame: full=beta-galactosidase-1-like protein flags: precursor	611	5	8.05E-97	86.80%
contig00297	glb1l_human ame: full=beta-galactosidase-1-like protein flags: precursor	174	5	4.13E-30	89.60%
contig00298	glb1l_human ame: full=beta-galactosidase-1-like protein flags: precursor	338	5	7.81E-69	87.20%
contig00299	glb1l_human ame: full=beta-galactosidase-1-like protein flags: precursor	1343	5	4.45E-146	75.00%
contig00300	---NA---	267	0		
contig00302	---NA---	200	0		
contig00303	---NA---	163	0		
contig00304	---NA---	292	0		
contig00305	ankz1_bovin ame: full=ankyrin repeat and zinc finger domain-containing protein 1	245	4	6.35E-15	93.50%
contig00306	ankz1_mouse ame: full=ankyrin repeat and zinc finger domain-containing protein 1	110	4	1.67E-14	98.50%
contig00307	ankz1_human ame: full=ankyrin repeat and zinc finger domain-containing protein 1 ame: full=zinc finger protein 744	114	4	1.17E-16	98.50%
contig00308	---NA---	135	0		
contig00309	---NA---	148	0		
contig00310	ptbp2_human ame: full=polypyrimidine tract-binding protein 2 ame: full=neural polypyrimidine tract-binding protein ame: full=neurally-enriched homolog of ptb ame: full=ptb-like protein	1478	5	7.78E-18	97.00%
contig00311	---NA---	177	0		
contig00314	ptbp2_human ame: full=polypyrimidine tract-binding protein 2 ame: full=neural polypyrimidine tract-binding protein ame: full=neurally-enriched homolog of ptb ame: full=ptb-like protein	452	5	3.37E-71	97.40%
contig00315	---NA---	2572	0		
contig00316	---NA---	178	0		
contig00317	---NA---	864	0		
contig00318	---NA---	225	0		
contig00319	rab4b_canfa ame: full=ras-related protein rab-4b	965	5	2.28E-128	95.20%
contig00320	---NA---	101	0		
contig00321	---NA---	470	0		
contig00322	---NA---	496	0		
contig00323	---NA---	489	0		
contig00324	---NA---	529	0		
contig00325	fktn_human ame: full=fukutin ame: full=fukuyama-type congenital muscular dystrophy protein	2327	5	0	76.20%
contig00326	---NA---	142	0		
contig00327	ptbp2_rat ame: full=polypyrimidine tract-binding protein 2 ame: full=neural polypyrimidine tract-binding protein ame: full=ptb-like protein	996	5	0	87.20%
contig00328	---NA---	2538	0		
contig00329	---NA---	309	0		
contig00330	---NA---	295	0		
contig00331	---NA---	224	0		
contig00333	---NA---	889	0		
contig00334	safb2_human ame: full=scaffold attachment factor b2 short=saf-b2	350	4	2.24E-26	57.25%
contig00335	---NA---	636	0		
contig00336	---NA---	219	0		
contig00337	safb1_human ame: full=scaffold attachment factor b1 short=saf-b short=saf-b1 ame: full=hsp27 estrogen response element-tata box-binding protein short=hsp27 ere-tata-binding protein	550	5	2.17E-58	81.40%
contig00338	---NA---	130	0		
contig00339	---NA---	305	0		
contig00340	safb2_human ame: full=scaffold attachment factor b2 short=saf-b2	909	5	1.93E-103	80.80%
contig00342	safb2_human ame: full=scaffold attachment factor b2 short=saf-b2	577	5	9.00E-53	68.00%
contig00343	---NA---	431	0		
contig00344	---NA---	299	0		
contig00345	safb1_human ame: full=scaffold attachment factor b1 short=saf-b short=saf-b1 ame: full=hsp27 estrogen response element-tata box-binding protein short=hsp27 ere-tata-binding protein	855	5	4.40E-118	88.80%
contig00346	---NA---	328	0		
contig00347	safb1_mouse ame: full=scaffold attachment factor b1 short=saf-b1	852	5	1.69E-98	91.80%
contig00348	safb1_human ame: full=scaffold attachment factor b1 short=saf-b short=saf-b1 ame: full=hsp27 estrogen response element-tata box-binding protein short=hsp27 ere-tata-binding protein	986	5	2.62E-99	88.00%
contig00349	---NA---	678	0		
contig00350	safb2_human ame: full=scaffold attachment factor b2 short=saf-b2	405	5	7.35E-22	84.20%
contig00352	---NA---	401	0		
contig00355	---NA---	1018	0		
contig00356	---NA---	494	0		
contig00357	s3tc2_mouse ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	146	3	2.45E-22	90.33%
contig00358	s3tc2_human ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	143	3	3.62E-24	88.67%
contig00360	s3tc2_human ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	1598	3	0	77.33%
contig00361	---NA---	162	0		
contig00364	s3tc2_mouse ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	131	2	9.64E-15	77.50%
contig00365	s3tc2_human ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	1196	3	1.57E-180	71.67%
contig00366	s3tc2_human ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	1213	3	8.79E-94	84.33%
contig00368	---NA---	118	0		
contig00369	s3tc2_mouse ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	124	2	3.74E-08	91.00%
contig00370	---NA---	979	0		
contig00373	---NA---	661	0		
contig00374	s3tc2_mouse ame: full=sh3 domain and tetratricopeptide repeat-containing protein 2	726	3	3.75E-21	87.00%
contig00375	---NA---	792	0		
contig00376	---NA---	285	0		
contig00377	ppox_macfa ame: full=protoporphyrinogen oxidase short=ppo	742	4	8.59E-34	88.25%
contig00380	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	546	3	3.82E-32	93.33%
contig00381	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	398	4	8.72E-69	82.75%
contig00382	---NA---	109	0		
contig00383	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	116	3	2.82E-13	91.67%
contig00385	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	320	4	1.09E-57	80.00%
contig00386	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	275	3	3.74E-21	93.67%
contig00387	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	193	3	8.07E-21	93.67%
contig00393	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	109	3	3.87E-14	94.00%
contig00394	ppox_mouse ame: full=protoporphyrinogen oxidase short=ppo	134	3	5.87E-22	98.00%
contig00397	ppox_human ame: full=protoporphyrinogen oxidase short=ppo	285	3	1.21E-15	94.00%
contig00398	---NA---	196	0		
contig00399	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	230	2	4.35E-25	85.50%
contig00401	pnkp_mouse ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	110	2	3.75E-15	90.00%
contig00403	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	161	2	4.26E-19	94.00%
contig00407	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	180	5	2.25E-32	75.40%
contig00409	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	950	5	2.57E-98	71.20%
contig00410	---NA---	593	0		
contig00411	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	350	3	1.26E-15	79.00%
contig00412	---NA---	150	0		
contig00413	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	264	2	1.27E-10	56.00%
contig00414	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	241	2	5.63E-18	94.00%
contig00415	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	120	2	7.37E-17	92.00%
contig00416	pnkp_human ame: full=bifunctional polynucleotide phosphatase kinase ame: full=dna 5 -kinase 3 -phosphatase ame: full=polynucleotide kinase-3 -phosphatase includes: ame: full=polynucleotide 3 -phosphatase ame: full=2 (3 )-polynucleotidase includes: ame: full=polynucleotide 5 -hydroxyl-kinase	205	2	1.90E-22	93.00%
contig00422	ccd66_ponab ame: full=coiled-coil domain-containing protein 66	499	3	3.87E-50	80.67%
contig00424	f208a_human ame: full=protein fam208a ame: full=ctcl tumor antigen se89-1 ame: full=retinoblastoma-associated protein rap140	1669	5	0	70.60%
contig00425	---NA---	200	0		
contig00426	---NA---	588	0		
